Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1080","Viande, dinde","2012","2012","1000 US$","587","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1080","Viande, dinde","2013","2013","1000 US$","5036","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1073","Viande, oie","2012","2012","tonnes","1","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1073","Viande, oie","2013","2013","tonnes","159","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1073","Viande, oie","2012","2012","1000 US$","4","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1073","Viande, oie","2013","2013","1000 US$","347","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1061","Viande, poulet en boîte","2012","2012","tonnes","1287","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1061","Viande, poulet en boîte","2013","2013","tonnes","588","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1061","Viande, poulet en boîte","2012","2012","1000 US$","5158","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1061","Viande, poulet en boîte","2013","2013","1000 US$","2001","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2012","2012","tonnes","661","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2013","2013","tonnes","1748","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2012","2012","1000 US$","1768","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2013","2013","1000 US$","4035","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1058","Viande, volaille","2012","2012","tonnes","339145","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1058","Viande, volaille","2013","2013","tonnes","319687","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","368228","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","333053","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1058","Viande, volaille","2012","2012","tonnes","7938","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1058","Viande, volaille","2013","2013","tonnes","47520","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","13092","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","75408","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","2074","Viande de Volailles","2012","2012","tonnes","373911","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","2074","Viande de Volailles","2013","2013","tonnes","355996","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","2074","Viande de Volailles","2012","2012","1000 US$","415883","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","2074","Viande de Volailles","2013","2013","1000 US$","383616","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","2074","Viande de Volailles","2012","2012","tonnes","9247","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","2074","Viande de Volailles","2013","2013","tonnes","53668","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","2074","Viande de Volailles","2012","2012","1000 US$","15570","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","2074","Viande de Volailles","2013","2013","1000 US$","85405","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1926","Viande Fr Volaille","2012","2012","tonnes","372043","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1926","Viande Fr Volaille","2013","2013","tonnes","355141","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1926","Viande Fr Volaille","2012","2012","1000 US$","410657","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1926","Viande Fr Volaille","2013","2013","1000 US$","381546","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1926","Viande Fr Volaille","2012","2012","tonnes","8283","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1926","Viande Fr Volaille","2013","2013","tonnes","51118","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1926","Viande Fr Volaille","2012","2012","1000 US$","13778","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1926","Viande Fr Volaille","2013","2013","1000 US$","81350","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1060","Foie gras, préparations","2012","2012","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1060","Foie gras, préparations","2013","2013","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1060","Foie gras, préparations","2012","2012","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1060","Foie gras, préparations","2013","2013","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1060","Foie gras, préparations","2012","2012","tonnes","","M","Donnée non disponible"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1060","Foie gras, préparations","2013","2013","tonnes","","M","Donnée non disponible"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1060","Foie gras, préparations","2012","2012","1000 US$","","M","Donnée non disponible"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1060","Foie gras, préparations","2013","2013","1000 US$","","M","Donnée non disponible"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1069","Viande, canard","2012","2012","tonnes","4","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1069","Viande, canard","2013","2013","tonnes","2","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1069","Viande, canard","2012","2012","1000 US$","11","","Donnée officielle"
