Clusters,Ratio_pop (%),Ratio_prot (kg/personne),Dispo_prot (kg/personne),Dispo_alim_tot (kcal/personne),Importations (Tonnes),PIB par habitant (US $),Ratio_PIB (%)
1,102.427914405885,22.182404329463814,20.982937500000002,869350.15625,43481.28125,1572.83357903125,108.4466143496411
2,101.97890972072904,28.605667615055886,22.441011111111113,861947.5,8623.055555555555,2210.074837888889,95.32008155430817
3,100.17157256530004,53.137955789885794,34.379439024390244,1144194.8780487804,35137.0,14845.58260902439,105.97208212687205
4,101.10097483312653,49.185026898973774,27.684176470588245,982945.0,17001.323529411766,8582.833481735293,103.44251842145805
5,102.74203785137217,32.594316273583914,31.924832352941173,1120829.1176470588,24720.176470588234,5752.159743294117,101.30300962959339
6,100.80885933698409,51.00376737327915,34.4487,1115987.5,534693.0,19456.386234125,99.04864251994792
7,100.90466995295951,60.78000877345167,39.363259090909104,1242260.9090909092,110751.63636363637,60472.020729909076,104.09640299389929
