Pays,Ratio_pop (%),Ratio_prot (kg/personne),Dispo_prot (kg/personne),Dispo_alim_tot (kcal/personne),Importations (Tonnes),PIB par habitant (US $),Ratio_PIB (%),Clusters
Allemagne,99.91183574879227,60.647006608146725,37.00735000000001,1278595.0,343958.0,46176.177749,105.62487442319062,7.0
Belgique,100.39783001808318,58.508604206500934,36.27005000000001,1364005.0,151787.0,46713.462219,103.99026732775367,7.0
Canada,100.98742752167173,52.06548638873024,38.34690000000001,1277135.0,164218.0,52264.959967,99.98877328101607,7.0
Pays-Bas,100.26923537154482,67.97057240265563,40.68290000000001,1176030.0,311693.0,51466.478134,104.23776022653537,7.0
Royaume-Uni,100.56163731556403,56.496024820632165,37.6461,1250125.0,350658.0,42385.080963,102.29783296048831,7.0
Émirats arabes unis,101.52074733869216,39.90048799157973,38.14615000000002,1195375.0,355880.0,43315.138419,102.91883841282814,7.0
Chine - RAS de Hong-Kong,100.7834359261332,73.13860695746494,47.11055,1199390.0,723484.0,38566.712121,104.35655340127079,6.0
