Pays,Ratio_pop (%),Ratio_prot (kg/personne),Dispo_prot (kg/personne),Dispo_alim_tot (kcal/personne),Importations (Tonnes),PIB par habitant (US $),Ratio_PIB (%),Clusters
Allemagne,99.91183574879227,60.647006608146725,37.00735000000001,1278595.0,343958.0,46176.177749,105.62487442319062,7.0
Belgique,100.39783001808318,58.508604206500934,36.27005000000001,1364005.0,151787.0,46713.462219,103.99026732775367,7.0
Pays-Bas,100.26923537154482,67.97057240265563,40.68290000000001,1176030.0,311693.0,51466.478134,104.23776022653537,7.0
